human,mouse,DB
ZNF185,NA,Jax
ZNF19,NA,Jax
ZNF195,NA,Jax
ZNF197,NA,Jax
ZNF20,NA,Jax
ZNF200,NA,Jax
ZNF208,Zfp619,Jax
ZNF211,NA,Jax
ZNF214,NA,Jax
ZNF215,NA,Jax
ZNF221,NA,Jax
ZNF222,NA,Jax
ZNF223,NA,Jax
ZNF224,NA,Jax
ZNF225,NA,Jax
ZNF226,Zfp111,Jax
ZNF227,NA,Jax
ZNF229,NA,Jax
ZNF230,NA,Jax
ZNF232,NA,Jax
ZNF233,NA,Jax
ZNF234,NA,Jax
ZNF235,Zfp235,Jax
ZNF253,Zfp65,Jax
ZNF254,NA,Jax
ZNF256,NA,Jax
ZNF257,NA,Jax
ZNF26,NA,Jax
ZNF264,NA,Jax
ZNF267,D3Ertd254e,Jax
ZNF268,NA,Jax
ZNF273,NA,Jax
ZNF275,Zfp275,Jax
ZNF28,NA,Jax
ZNF280A,NA,Jax
ZNF283,NA,Jax
ZNF284,NA,Jax
ZNF285,NA,Jax
ZNF3,Zfp113,Jax
ZNF30,NA,Jax
ZNF300,NA,Jax
ZNF302,NA,Jax
ZNF304,NA,Jax
ZNF311,NA,Jax
ZNF320,NA,Jax
ZNF324B,NA,Jax
ZNF331,NA,Jax
ZNF333,NA,Jax
ZNF337,NA,Jax
ZNF33A,NA,Jax
ZNF33B,NA,Jax
ZNF34,NA,Jax
ZNF343,NA,Jax
ZNF345,NA,Jax
ZNF347,NA,Jax
ZNF350,NA,Jax
ZNF37A,NA,Jax
ZNF385D,NA,Jax
ZNF391,NA,Jax
ZNF396,NA,Jax
ZNF404,NA,Jax
ZNF41,NA,Jax
ZNF415,NA,Jax
ZNF416,Zfp418,Jax
ZNF417,NA,Jax
ZNF418,NA,Jax
ZNF419,NA,Jax
ZNF420,Zfp420,Jax
ZNF425,NA,Jax
ZNF429,NA,Jax
ZNF43,Zfp458,Jax
ZNF430,NA,Jax
ZNF431,NA,Jax
ZNF432,NA,Jax
ZNF433,Gm32687,Jax
ZNF433,Gm33378,Jax
ZNF433,Zfp433,Jax
ZNF439,NA,Jax
ZNF44,NA,Jax
ZNF440,NA,Jax
ZNF441,NA,Jax
ZNF442,Gm14305,Jax
ZNF442,Gm14308,Jax
ZNF442,Gm14325,Jax
ZNF442,Gm14326,Jax
ZNF442,Gm14391,Jax
ZNF442,Gm14412,Jax
ZNF442,Gm14434,Jax
ZNF442,Gm2026,Jax
ZNF442,Gm4724,Jax
ZNF442,Gm6710,Jax
ZNF442,Zfp966,Jax
ZNF442,Zfp967,Jax
ZNF442,Zfp970,Jax
ZNF442,Zfp971,Jax
ZNF443,Zfp709,Jax
ZNF45,NA,Jax
ZNF460,NA,Jax
ZNF461,NA,Jax
ZNF468,NA,Jax
ZNF469,Zfp469,Jax
ZNF470,NA,Jax
ZNF471,Zfp78,Jax
ZNF479,NA,Jax
ZNF480,NA,Jax
ZNF484,NA,Jax
ZNF485,NA,Jax
ZNF486,NA,Jax
ZNF490,NA,Jax
ZNF491,NA,Jax
ZNF492,NA,Jax
ZNF493,NA,Jax
ZNF497,NA,Jax
ZNF500,NA,Jax
ZNF501,NA,Jax
ZNF502,Zfp72,Jax
ZNF506,NA,Jax
ZNF510,NA,Jax
ZNF514,NA,Jax
ZNF517,NA,Jax
ZNF519,Zfp386,Jax
ZNF527,NA,Jax
ZNF528,NA,Jax
ZNF529,NA,Jax
ZNF530,NA,Jax
ZNF532,NA,Jax
ZNF534,NA,Jax
ZNF540,NA,Jax
ZNF543,NA,Jax
ZNF544,NA,Jax
ZNF546,Zfp11,Jax
ZNF547,NA,Jax
ZNF548,NA,Jax
ZNF549,NA,Jax
ZNF550,NA,Jax
ZNF552,NA,Jax
ZNF554,NA,Jax
ZNF555,NA,Jax
ZNF556,NA,Jax
ZNF557,NA,Jax
ZNF559,NA,Jax
ZNF559-ZNF177,Gm14296,Jax
ZNF559-ZNF177,Zfp931,Jax
ZNF559-ZNF177,Zfp965,Jax
ZNF560,Zfp560,Jax
ZNF561,NA,Jax
ZNF563,Zfp563,Jax
ZNF564,NA,Jax
ZNF565,Zfp84,Jax
ZNF567,Zfp300,Jax
ZNF568,NA,Jax
ZNF57,NA,Jax
ZNF570,NA,Jax
ZNF571,NA,Jax
ZNF572,NA,Jax
ZNF573,NA,Jax
ZNF576,NA,Jax
ZNF577,NA,Jax
ZNF581,NA,Jax
ZNF582,NA,Jax
ZNF584,NA,Jax
ZNF585A,Zfp27,Jax
ZNF585B,NA,Jax
ZNF586,NA,Jax
ZNF587,NA,Jax
ZNF589,NA,Jax
ZNF594,NA,Jax
ZNF595,Zfp595,Jax
ZNF596,NA,Jax
ZNF599,NA,Jax
ZNF600,NA,Jax
ZNF607,NA,Jax
ZNF610,NA,Jax
ZNF611,NA,Jax
ZNF613,Zfp157,Jax
ZNF614,NA,Jax
ZNF615,NA,Jax
ZNF616,Gm13212,Jax
ZNF616,Gm30910,Jax
ZNF616,Rex2,Jax
ZNF616,Zfp534,Jax
ZNF616,Zfp600,Jax
ZNF616,Zfp979,Jax
ZNF616,Zfp980,Jax
ZNF616,Zfp981,Jax
ZNF616,Zfp984,Jax
ZNF616,Zfp985,Jax
ZNF616,Zfp987,Jax
ZNF616,Zfp991,Jax
ZNF616,Zfp992,Jax
ZNF619,NA,Jax
ZNF620,NA,Jax
ZNF621,NA,Jax
ZNF624,Gm3055,Jax
ZNF625,NA,Jax
ZNF627,Zfp867,Jax
ZNF630,NA,Jax
ZNF649,NA,Jax
ZNF653,Zfp653,Jax
ZNF658,Gm7145,Jax
ZNF658,Zfp616,Jax
ZNF658,Zfp735,Jax
ZNF660,NA,Jax
ZNF662,NA,Jax
ZNF664-RFLNA,Rflna,Jax
ZNF669,Zfp963,Jax
ZNF670,NA,Jax
ZNF671,NA,Jax
ZNF674,NA,Jax
ZNF675,NA,Jax
ZNF676,Zfp273,Jax
ZNF677,NA,Jax
ZNF678,NA,Jax
ZNF679,NA,Jax
ZNF680,NA,Jax
ZNF681,NA,Jax
ZNF682,NA,Jax
ZNF683,NA,Jax
ZNF684,NA,Jax
ZNF695,NA,Jax
ZNF696,NA,Jax
ZNF699,NA,Jax
ZNF70,NA,Jax
ZNF700,Gm10324,Jax
ZNF700,Gm19428,Jax
ZNF700,Gm31714,Jax
ZNF700,Gm7762,Jax
ZNF701,NA,Jax
ZNF705A,Clec4a1,Jax
ZNF705B,NA,Jax
ZNF705D,NA,Jax
ZNF705E,NA,Jax
ZNF705G,NA,Jax
ZNF707,Zfp707,Jax
ZNF708,NA,Jax
ZNF709,NA,Jax
ZNF71,NA,Jax
ZNF710,Zfp710,Jax
ZNF713,NA,Jax
ZNF714,NA,Jax
ZNF716,NA,Jax
ZNF717,Zfp39,Jax
ZNF718,NA,Jax
ZNF720,NA,Jax
ZNF721,NA,Jax
ZNF726,Zfp712,Jax
ZNF727,NA,Jax
ZNF729,Zfp729a,Jax
ZNF729,Zfp729b,Jax
ZNF729,Zfp738,Jax
ZNF730,NA,Jax
ZNF732,NA,Jax
ZNF735,NA,Jax
ZNF736,NA,Jax
ZNF737,NA,Jax
ZNF74,NA,Jax
ZNF740,NA,Jax
ZNF747,NA,Jax
ZNF749,NA,Jax
ZNF75A,NA,Jax
ZNF75D,NA,Jax
ZNF761,Zfp51,Jax
ZNF766,NA,Jax
ZNF77,NA,Jax
ZNF772,NA,Jax
ZNF773,Zfp772,Jax
ZNF774,NA,Jax
ZNF775,Zfp775,Jax
ZNF776,NA,Jax
ZNF778,Zfp26,Jax
ZNF780B,Zfp780b,Jax
ZNF782,NA,Jax
ZNF783,NA,Jax
ZNF785,NA,Jax
ZNF789,NA,Jax
ZNF79,NA,Jax
ZNF790,Zfp790,Jax
ZNF792,NA,Jax
ZNF793,NA,Jax
ZNF799,Zfp799,Jax
ZNF80,NA,Jax
ZNF805,NA,Jax
ZNF806,NA,Jax
ZNF808,NA,Jax
ZNF81,NA,Jax
ZNF812P,NA,Jax
ZNF813,NA,Jax
ZNF814,NA,Jax
ZNF816,NA,Jax
ZNF823,NA,Jax
ZNF829,NA,Jax
ZNF835,NA,Jax
ZNF836,NA,Jax
ZNF837,NA,Jax
ZNF84,NA,Jax
ZNF841,NA,Jax
ZNF843,NA,Jax
ZNF845,Gm29738,Jax
ZNF845,Gm29746,Jax
ZNF845,Gm31526,Jax
ZNF846,Zfp846,Jax
ZNF85,NA,Jax
ZNF850,NA,Jax
ZNF852,NA,Jax
ZNF853,NA,Jax
ZNF860,NA,Jax
ZNF862,NA,Jax
ZNF875,NA,Jax
ZNF878,Zfp617,Jax
ZNF880,NA,Jax
ZNF883,NA,Jax
ZNF888,NA,Jax
ZNF891,NA,Jax
ZNF90,NA,Jax
ZNF91,Zfp869,Jax
ZNF92,NA,Jax
ZNF93,Zfp457,Jax
ZNF98,NA,Jax
ZNF99,NA,Jax
ZP4,NA,Jax
ZRANB2,NA,Jax
ZRSR2,Zrsr2,Jax
ZSCAN1,NA,Jax
ZSCAN16,NA,Jax
ZSCAN23,NA,Jax
ZSCAN30,Zscan30,Jax
ZSCAN31,NA,Jax
ZSCAN32,NA,Jax
ZSCAN4,NA,Jax
ZSCAN5A,NA,Jax
ZSCAN9,NA,Jax
ZSWIM6,Zswim6,Jax
ZXDA,NA,Jax
ZXDB,Zxdb,Jax
ZZZ3,Zzz3,Jax
NA,0610009B22Rik,Jax
NA,1300017J02Rik,Jax
NA,1500009L16Rik,Jax
NA,1600015I10Rik,Jax
NA,1700001F09Rik,Jax
NA,1700001J03Rik,Jax
NA,1700001K19Rik,Jax
NA,1700003F12Rik,Jax
NA,1700009N14Rik,Jax
NA,1700012B07Rik,Jax
NA,1700013D24Rik,Jax
NA,1700013G24Rik,Jax
NA,1700013H16Rik,Jax
NA,1700014D04Rik,Jax
NA,1700015G11Rik,Jax
NA,1700018F24Rik,Jax
NA,1700020D05Rik,Jax
NA,1700020N15Rik,Jax
NA,1700023F06Rik,Jax
NA,1700024P04Rik,Jax
NA,1700025F22Rik,Jax
NA,1700029P11Rik,Jax
NA,1700040F15Rik,Jax
NA,1700042G07Rik,Jax
NA,1700047I17Rik2,Jax
NA,1700056E22Rik,Jax
NA,1700057G04Rik,Jax
NA,1700061G19Rik,Jax
NA,1700067P10Rik,Jax
NA,1700074P13Rik,Jax
NA,1700109H08Rik,Jax
NA,1700123K08Rik,Jax
NA,1700129C05Rik,Jax
NA,1810009J06Rik,Jax
NA,1810037I17Rik,Jax
NA,1810065E05Rik,Jax
NA,2010106E10Rik,Jax
NA,2010315B03Rik,Jax
NA,2200002D01Rik,Jax
NA,2200002J24Rik,Jax
NA,2210010C04Rik,Jax
NA,2210407C18Rik,Jax
NA,2310002L09Rik,Jax
NA,2310039H08Rik,Jax
NA,2310057J18Rik,Jax
NA,2310061N02Rik,Jax
NA,2310079G19Rik,Jax
NA,2410002F23Rik,Jax
NA,2410141K09Rik,Jax
NA,2510002D24Rik,Jax
NA,2610002M06Rik,Jax
NA,2610008E11Rik,Jax
NA,2610028H24Rik,Jax
NA,2610318N02Rik,Jax
NA,2610524H06Rik,Jax
NA,2610528A11Rik,Jax
NA,2700097O09Rik,Jax
NA,2810021J22Rik,Jax
NA,2810408A11Rik,Jax
NA,2900026A02Rik,Jax
NA,3300002I08Rik,Jax
NA,3830403N18Rik,Jax
NA,3830417A13Rik,Jax
NA,4430402I18Rik,Jax
NA,4833423E24Rik,Jax
NA,4921504E06Rik,Jax
NA,4921509C19Rik,Jax
NA,4921511M17Rik,Jax
NA,4921517D22Rik,Jax
NA,4921524L21Rik,Jax
NA,4921528I07Rik,Jax
NA,4921530L21Rik,Jax
NA,4921539E11Rik,Jax
NA,4922502D21Rik,Jax
NA,4930402F06Rik,Jax
NA,4930402K13Rik,Jax
NA,4930407I10Rik,Jax
NA,4930415L06Rik,Jax
NA,4930415O20Rik,Jax
NA,4930430A15Rik,Jax
NA,4930433I11Rik,Jax
NA,4930438A08Rik,Jax
NA,4930444G20Rik,Jax
NA,4930449I24Rik,Jax
NA,4930467E23Rik,Jax
NA,4930474N05Rik,Jax
NA,4930480E11Rik,Jax
NA,4930486L24Rik,Jax
NA,4930488N24Rik,Jax
NA,4930502E18Rik,Jax
NA,4930503B20Rik,Jax
NA,4930503E14Rik,Jax
NA,4930519F16Rik,Jax
NA,4930519G04Rik,Jax
NA,4930524N10Rik,Jax
NA,4930544G11Rik,Jax
NA,4930550L24Rik,Jax
NA,4930555G01Rik,Jax
NA,4930563M21Rik,Jax
NA,4930564C03Rik,Jax
NA,4930567H17Rik,Jax
NA,4930568D16Rik,Jax
NA,4930571K23Rik,Jax
NA,4930595M18Rik,Jax
NA,4931406B18Rik,Jax
NA,4931408C20Rik,Jax
NA,4931417E11Rik,Jax
NA,4931423N10Rik,Jax
NA,4931429L15Rik,Jax
NA,4932414N04Rik,Jax
NA,4932416K20Rik,Jax
NA,4932429P05Rik,Jax
NA,4933402E13Rik,Jax
NA,4933402N22Rik,Jax
NA,4933403O08Rik,Jax
NA,4933406M09Rik,Jax
NA,4933412E24Rik,Jax
NA,4933415F23Rik,Jax
NA,4933421I07Rik,Jax
NA,4933425L06Rik,Jax
NA,4933427D06Rik,Jax
NA,4933436I01Rik,Jax
NA,5031410I06Rik,Jax
NA,5430401F13Rik,Jax
NA,5430402E10Rik,Jax
NA,5430419D17Rik,Jax
NA,5530400C23Rik,Jax
NA,5830411N06Rik,Jax
NA,5830473C10Rik,Jax
NA,6030498E09Rik,Jax
NA,6430531B16Rik,Jax
NA,6430628N08Rik,Jax
NA,7420426K07Rik,Jax
NA,8030474K03Rik,Jax
NA,9030025P20Rik,Jax
NA,9030624G23Rik,Jax
NA,9130019O22Rik,Jax
NA,9130204L05Rik,Jax
NA,9130409I23Rik,Jax
NA,9430007A20Rik,Jax
NA,9430038I01Rik,Jax
NA,9530003J23Rik,Jax
NA,9530053A07Rik,Jax
NA,9830107B12Rik,Jax
NA,9930111J21Rik1,Jax
NA,A430033K04Rik,Jax
NA,A430089I19Rik,Jax
NA,A530032D15Rik,Jax
NA,A530064D06Rik,Jax
NA,A630001G21Rik,Jax
NA,AA414768,Jax
NA,AA623943,Jax
NA,AA792892,Jax
NA,Abca14,Jax
NA,Abca15,Jax
NA,Abca16,Jax
NA,Abca17,Jax
NA,Abca8a,Jax
NA,Abcb1b,Jax
NA,Abcg3,Jax
NA,Abi3bp,Jax
NA,Acaa1b,Jax
NA,Acan,Jax
NA,Ace3,Jax
NA,Acnat1,Jax
NA,Acnat2,Jax
NA,Acot1,Jax
NA,Acot5,Jax
NA,Acot6,Jax
NA,Acp5,Jax
NA,Actl11,Jax
NA,Actn3,Jax
NA,Adam1a,Jax
NA,Adam1b,Jax
NA,Adam24,Jax
NA,Adam26a,Jax
NA,Adam26b,Jax
NA,Adam3,Jax
NA,Adam34,Jax
NA,Adam4,Jax
NA,Adam5,Jax
NA,Adam6a,Jax
NA,Adam6b,Jax
NA,Adgre4,Jax
NA,Adh6a,Jax
NA,Adh6b,Jax
NA,AF366264,Jax
NA,Aff2,Jax
NA,Afg3l1,Jax
NA,Agtr1b,Jax
NA,Ahsa2,Jax
NA,AI182371,Jax
NA,AI413582,Jax
NA,AI661453,Jax
NA,Akap17b,Jax
NA,Akap9,Jax
NA,Akr1b10,Jax
NA,Akr1b7,Jax
NA,Akr1c12,Jax
NA,Akr1c13,Jax
NA,Akr1c14,Jax
NA,Akr1c19,Jax
NA,Akr1cl,Jax
NA,Aldh1a7,Jax
NA,Aldh3b2,Jax
NA,Aldh3b3,Jax
NA,Aldoart1,Jax
NA,Aldoart2,Jax
NA,Alg13,Jax
NA,Alox12e,Jax
NA,Alyref,Jax
NA,Alyref2,Jax
NA,Anapc15,Jax
NA,Ang4,Jax
NA,Ang5,Jax
NA,Ang6,Jax
NA,Ankrd36,Jax
NA,Ankrd50,Jax
NA,Anp32a,Jax
NA,Anp32b,Jax
NA,Anp32e,Jax
NA,Aox2,Jax
NA,Aox3,Jax
NA,Aox4,Jax
NA,Ap2b1,Jax
NA,Aph1c,Jax
NA,Apoc1,Jax
NA,Apoc3,Jax
NA,Apol10a,Jax
NA,Apol10b,Jax
NA,Apol11a,Jax
NA,Apol11b,Jax
NA,Apol7a,Jax
NA,Apol7b,Jax
NA,Apol7c,Jax
NA,Apol7e,Jax
NA,Apol9a,Jax
NA,Apol9b,Jax
NA,Apon,Jax
NA,Arf2,Jax
NA,Arhgef38,Jax
NA,Art2b,Jax
NA,Arxes1,Jax
NA,Arxes2,Jax
NA,Atp5k,Jax
NA,Atp6ap1l,Jax
NA,Atp8b5,Jax
NA,AU018091,Jax
NA,AU041133,Jax
NA,AV320801,Jax
NA,AW146154,Jax
NA,AW822073,Jax
NA,AY358078,Jax
NA,AY761184,Jax
NA,B020004C17Rik,Jax
NA,B020004J07Rik,Jax
NA,B020011L13Rik,Jax
NA,B430306N03Rik,Jax
NA,BB287469,Jax
NA,BC005561,Jax
NA,BC024139,Jax
NA,BC048507,Jax
NA,BC048671,Jax
NA,BC048679,Jax
NA,BC049352,Jax
NA,BC049762,Jax
NA,BC051142,Jax
NA,BC051665,Jax
NA,BC053393,Jax
NA,BC061212,Jax
NA,BC061237,Jax
NA,BC080695,Jax
NA,Bex1,Jax
NA,Bhlhe41,Jax
NA,Bmp8b,Jax
NA,Bmyc,Jax
NA,Bola2,Jax
NA,Bpifa5,Jax
NA,Bpifa6,Jax
NA,Bpifb5,Jax
NA,Bpifb9a,Jax
NA,Bpifb9b,Jax
NA,Brd4,Jax
NA,Bsph2,Jax
NA,Bst2,Jax
NA,Btbd35f1,Jax
NA,Btbd35f10,Jax
NA,Btbd35f11,Jax
NA,Btbd35f12,Jax
NA,Btbd35f13,Jax
NA,Btbd35f14,Jax
NA,Btbd35f15,Jax
NA,Btbd35f16,Jax
NA,Btbd35f17,Jax
NA,Btbd35f18,Jax
NA,Btbd35f19,Jax
NA,Btbd35f2,Jax
NA,Btbd35f20,Jax
NA,Btbd35f21,Jax
NA,Btbd35f22,Jax
NA,Btbd35f23,Jax
NA,Btbd35f25,Jax
NA,Btbd35f26,Jax
NA,Btbd35f27,Jax
NA,Btbd35f28,Jax
NA,Btbd35f29,Jax
NA,Btbd35f3,Jax
NA,Btbd35f30,Jax
NA,Btbd35f4,Jax
NA,Btbd35f5,Jax
NA,Btbd35f6,Jax
NA,Btbd35f7,Jax
NA,Btbd35f8,Jax
NA,Btbd35f9,Jax
NA,Btg1-ps1,Jax
NA,Btg1-ps2,Jax
NA,Btnl1,Jax
NA,Btnl10,Jax
NA,Btnl4,Jax
NA,Btnl6,Jax
NA,C130026I21Rik,Jax
NA,C130050O18Rik,Jax
NA,C130060K24Rik,Jax
NA,C2cd6,Jax
NA,C330021F23Rik,Jax
NA,C530008M17Rik,Jax
NA,C87414,Jax
NA,C87977,Jax
NA,Cabp1,Jax
NA,Calcb,Jax
NA,Cald1,Jax
NA,Calm1,Jax
NA,Calm2,Jax
NA,Calm3,Jax
NA,Calr4,Jax
NA,Car15,Jax
NA,Casp12,Jax
NA,Cbarp,Jax
NA,Cbr2,Jax
NA,Cbx3-ps5,Jax
NA,Cc2d2b,Jax
NA,Ccdc144b,Jax
NA,Ccdc162,Jax
NA,Ccdc163,Jax
NA,Ccdc192,Jax
NA,Ccdc194,Jax
NA,Ccdc30,Jax
NA,Ccdc50,Jax
NA,Ccdc69,Jax
NA,Ccdc71,Jax
NA,Ccdc74a,Jax
NA,Ccdc7a,Jax
NA,Ccl26,Jax
NA,Ccl27a,Jax
NA,Ccl6,Jax
NA,Ccl7,Jax
NA,Ccl9,Jax
NA,Ccnjl,Jax
NA,Ccr1l1,Jax
NA,Cd163l1,Jax
NA,Cd209b,Jax
NA,Cd209c,Jax
NA,Cd209d,Jax
NA,Cd209f,Jax
NA,Cd209g,Jax
NA,Cdc42,Jax
NA,Cdkn1c,Jax
NA,Ceacam11,Jax
NA,Ceacam12,Jax
NA,Ceacam13,Jax
NA,Ceacam14,Jax
NA,Ceacam15,Jax
NA,Ceacam3,Jax
NA,Ceacam5,Jax
NA,Ceacam9,Jax
NA,Celf1,Jax
NA,Celf6,Jax
NA,Ces1a,Jax
NA,Ces1b,Jax
NA,Ces1c,Jax
NA,Ces1e,Jax
NA,Ces1f,Jax
NA,Ces1g,Jax
NA,Ces1h,Jax
NA,Ces2a,Jax
NA,Ces2b,Jax
NA,Ces2c,Jax
NA,Ces2e,Jax
NA,Ces2f,Jax
NA,Ces2g,Jax
NA,Cetn4,Jax
NA,Cfhr2,Jax
NA,Cfhr3,Jax
NA,Chil3,Jax
NA,Chil4,Jax
NA,Chil5,Jax
NA,Chil6,Jax
NA,Chtop,Jax
NA,Cks1brt,Jax
NA,Clasrp,Jax
NA,Clca3a1,Jax
NA,Clca3a2,Jax
NA,Clca3b,Jax
NA,Cldn34a,Jax
NA,Cldn34b1,Jax
NA,Cldn34b2,Jax
NA,Cldn34b3,Jax
NA,Cldn34b4,Jax
NA,Cldn34c1,Jax
NA,Cldn34c2,Jax
NA,Cldn34c3,Jax
NA,Cldn34c4,Jax
NA,Cldn34d,Jax
NA,Clec2d,Jax
NA,Clec2e,Jax
NA,Clec2g,Jax
NA,Clec2h,Jax
NA,Clec2i,Jax
NA,Clec4a3,Jax
NA,Clec4a4,Jax
NA,Clec4b2,Jax
NA,Cma2,Jax
NA,Cmah,Jax
NA,Cmtm1,Jax
NA,Cmtm2a,Jax
NA,Cmya5,Jax
NA,Cngb1,Jax
NA,Cntnap5b,Jax
NA,Cntnap5c,Jax
NA,Coa6,Jax
NA,Col17a1,Jax
NA,Col6a4,Jax
NA,Commd6,Jax
NA,Cops2,Jax
NA,Cox5b,Jax
NA,Cox6c,Jax
NA,Cox7b2,Jax
NA,Cox7c,Jax
NA,Cox8b,Jax
NA,Cox8c,Jax
NA,Cphx1,Jax
NA,Cphx2,Jax
NA,Cphx3,Jax
NA,Crb3,Jax
NA,Crip2,Jax
NA,Crisp1,Jax
NA,Crisp3,Jax
NA,Crxos,Jax
NA,Cryge,Jax
NA,Crygf,Jax
NA,Cryzl2,Jax
NA,Csl,Jax
NA,Csn1s2a,Jax
NA,Csn1s2b,Jax
NA,Csprs,Jax
NA,Cst12,Jax
NA,Cst13,Jax
NA,Csta3,Jax
NA,Cstdc1,Jax
NA,Cstdc2,Jax
NA,Cstdc3,Jax
NA,Cstdc5,Jax
NA,Cstdc6,Jax
NA,Ctag2,Jax
NA,Ctf2,Jax
NA,Ctla2a,Jax
NA,Ctla2b,Jax
NA,Cts6,Jax
NA,Cts7,Jax
NA,Cts8,Jax
NA,Ctsj,Jax
NA,Ctsll3,Jax
NA,Ctsm,Jax
NA,Ctsq,Jax
NA,Ctsr,Jax
NA,Cutal,Jax
NA,Cxcl3,Jax
NA,Cxcl9,Jax
NA,Cyb5r3,Jax
NA,Cyct,Jax
NA,Cylc1,Jax
NA,Cylc2,Jax
NA,Cym,Jax
NA,Cyp2a12,Jax
NA,Cyp2a22,Jax
NA,Cyp2ab1,Jax
NA,Cyp2b13,Jax
NA,Cyp2b19,Jax
NA,Cyp2b23,Jax
NA,Cyp2b9,Jax
NA,Cyp2c23,Jax
NA,Cyp2c37,Jax
NA,Cyp2c40,Jax
NA,Cyp2c50,Jax
NA,Cyp2c54,Jax
NA,Cyp2c67,Jax
NA,Cyp2c68,Jax
NA,Cyp2c69,Jax
NA,Cyp2c70,Jax
NA,Cyp2d10,Jax
NA,Cyp2d11,Jax
NA,Cyp2d12,Jax
NA,Cyp2d22,Jax
NA,Cyp2d26,Jax
NA,Cyp2d34,Jax
NA,Cyp2d40,Jax
NA,Cyp2d9,Jax
NA,Cyp2g1,Jax
NA,Cyp2j11,Jax
NA,Cyp2j12,Jax
NA,Cyp2j13,Jax
NA,Cyp2j5,Jax
NA,Cyp2j8,Jax
NA,Cyp2j9,Jax
NA,Cyp2t4,Jax
NA,Cyp3a25,Jax
NA,Cyp3a57,Jax
NA,Cyp3a59,Jax
NA,Cyp4a14,Jax
NA,Cyp4f16,Jax
NA,Cyp4f17,Jax
NA,Cyp4f37,Jax
NA,D130040H23Rik,Jax
NA,D1Pas1,Jax
NA,D430019H16Rik,Jax
NA,D5Ertd577e,Jax
NA,D830030K20Rik,Jax
NA,Dazap1,Jax
NA,Dbil5,Jax
NA,Dcaf12l1,Jax
NA,Dcpp1,Jax
NA,Dcpp2,Jax
NA,Dcpp3,Jax
NA,Defa17,Jax
NA,Defa2,Jax
NA,Defa20,Jax
NA,Defa21,Jax
NA,Defa22,Jax
NA,Defa23,Jax
NA,Defa24,Jax
NA,Defa25,Jax
NA,Defa26,Jax
NA,Defa27,Jax
NA,Defa28,Jax
NA,Defa29,Jax
NA,Defa3,Jax
NA,Defa30,Jax
NA,Defa31,Jax
NA,Defa32,Jax
NA,Defa33,Jax
NA,Defa34,Jax
NA,Defa35,Jax
NA,Defa36,Jax
NA,Defa37,Jax
NA,Defa5,Jax
NA,Defb1,Jax
NA,Defb13,Jax
NA,Defb14,Jax
NA,Defb20,Jax
NA,Defb22,Jax
NA,Defb25,Jax
NA,Defb26,Jax
NA,Defb28,Jax
NA,Defb30,Jax
NA,Defb36,Jax
NA,Defb39,Jax
NA,Defb40,Jax
NA,Defb42,Jax
NA,Defb43,Jax
NA,Defb45,Jax
NA,Defb48,Jax
NA,Dgcr6,Jax
NA,Dhrs2,Jax
NA,Diaph2,Jax
NA,Dmrtc1a,Jax
NA,Dmrtc1b,Jax
NA,Dmrtc1c1,Jax
NA,Dmrtc1c2,Jax
NA,Dnajb3,Jax
NA,Doc2g,Jax
NA,Doxl2,Jax
NA,Dppa1,Jax
NA,Dppa3,Jax
NA,Dst,Jax
NA,Dusp21,Jax
NA,Duxbl1,Jax
NA,Duxbl2,Jax
NA,Duxbl3,Jax
NA,DXBay18,Jax
NA,Dynap,Jax
NA,Dync1i2,Jax
NA,E130308A19Rik,Jax
NA,E230025N22Rik,Jax
NA,E330014E10Rik,Jax
NA,E330017A01Rik,Jax
NA,E430018J23Rik,Jax
NA,Ear1,Jax
NA,Ear10,Jax
NA,Ear2,Jax
NA,Ear6,Jax
NA,Eci3,Jax
NA,Eda,Jax
NA,Efcab10,Jax
NA,Egfem1,Jax
NA,Ehbp1l1,Jax
NA,Eif1,Jax
NA,Eif2s3y,Jax
NA,Elf5,Jax
NA,Elob,Jax
NA,Esp4,Jax
NA,Esp5,Jax
NA,Esp8,Jax
NA,Esrra,Jax
NA,Evi5l,Jax
NA,Ewsr1,Jax
NA,F830016B08Rik,Jax
NA,F830045P16Rik,Jax
NA,Fam122c,Jax
NA,Fam13a,Jax
NA,Fam169b,Jax
NA,Fam177a,Jax
NA,Fam183b,Jax
NA,Fam184b,Jax
NA,Fam187a,Jax
NA,Fam187b,Jax
NA,Fam193b,Jax
NA,Fam205c,Jax
NA,Fam24a,Jax
NA,Fam24b,Jax
NA,Fam25c,Jax
NA,Fam90a1a,Jax
NA,Fbll1,Jax
NA,Fbxl22,Jax
NA,Fbxo38,Jax
NA,Fbxw13,Jax
NA,Fbxw14,Jax
NA,Fbxw15,Jax
NA,Fbxw16,Jax
NA,Fbxw17,Jax
NA,Fbxw18,Jax
NA,Fbxw19,Jax
NA,Fbxw20,Jax
NA,Fbxw21,Jax
NA,Fbxw22,Jax
NA,Fbxw23,Jax
NA,Fbxw24,Jax
NA,Fbxw26,Jax
NA,Fbxw27,Jax
NA,Fbxw28,Jax
NA,Fcna,Jax
NA,Fcrls,Jax
NA,Fer1l4,Jax
NA,Fhod1,Jax
NA,Fip1l1,Jax
NA,Flg2,Jax
NA,Fmnl1,Jax
NA,Fmo6,Jax
NA,Fmo9,Jax
NA,Fmr1nb,Jax
NA,Fnbp1l,Jax
NA,Fndc3c1,Jax
